ORIGIN_AIRPORT,total_flights,avg_arrival_delay,delayed_rate,avg_distance,cancelled_rate,destinations_served,madrugada,morning_delay_rate,night_delay_rate,afternoon_delay_rate,cluster,pca_1,pca_2
ABE,15,-2.533333333333333,0.2,580.1333333333333,0.0,3,0.0,0.1,0.0,0.4,0,-1.1617941845196678,-0.6927843417819343
ABI,13,33.15384615384615,0.5384615384615384,158.0,0.0,1,0.0,0.5714285714285714,0.0,0.75,5,2.5747508585795185,-1.1402007743201465
ABQ,192,25.447916666666668,0.4427083333333333,732.6510416666666,0.0,21,0.0,0.33707865168539325,0.75,0.4533333333333333,1,1.3593327339974601,0.8472789768969747
ABR,7,-8.571428571428571,0.0,257.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.7764993177289474,-1.1295354450776294
ABY,6,-0.16666666666666666,0.16666666666666666,145.0,0.0,1,0.0,0.0,0.0,0.3333333333333333,0,-1.421774589688683,-1.1850226847065533
ACT,13,24.153846153846153,0.5384615384615384,89.0,0.0,1,0.0,0.25,1.0,1.0,1,2.729343750477513,-0.3616943735902876
ACV,19,6.0,0.15789473684210525,250.0,0.0,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0,-1.0783736244599376,-0.7917324048062749
ACY,37,4.54054054054054,0.13513513513513514,879.1621621621622,0.0,6,0.0,0.043478260869565216,0.16666666666666666,0.375,3,-1.2633089967151359,-0.1387803119132989
ADK,1,-4.0,0.0,1192.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.8357286430913105,-0.20340818988646805
ADQ,2,-21.0,0.0,253.0,0.0,1,0.0,0.0,0.0,0.0,0,-3.1451522571472608,-1.1563791953735938
AEX,28,33.57142857142857,0.39285714285714285,342.32142857142856,0.0,3,0.0,0.25,1.0,0.4444444444444444,1,1.5298404555493939,-0.08723692169359594
AGS,22,1.1363636363636365,0.18181818181818182,143.0,0.0,1,0.0,0.3333333333333333,0.0,0.09090909090909091,0,-1.0861063097728318,-1.2349021072682131
ALB,64,25.0625,0.28125,767.15625,0.0,10,0.0,0.17142857142857143,0.6666666666666666,0.43478260869565216,3,0.46922628415655093,0.3146324358307221
ALO,6,33.166666666666664,0.8333333333333334,234.0,0.0,1,0.0,0.6666666666666666,0.0,1.0,4,4.054959936139541,-1.0397457485390602
AMA,45,53.08888888888889,0.5333333333333333,386.8888888888889,0.0,5,0.0,0.45454545454545453,0.7142857142857143,0.5625,1,2.9613445857013496,-0.17006667306967516
ANC,144,-11.854166666666666,0.08333333333333333,1472.861111111111,0.0,22,0.08108108108108109,0.022727272727272728,0.17857142857142858,0.08571428571428572,3,-2.608588227520363,1.021595981009591
APN,4,1.5,0.5,198.0,0.0,1,0.0,0.0,0.0,0.6666666666666666,5,0.17505685101337817,-1.0695406782670707
ASE,80,56.675,0.7625,662.0625,0.0,8,0.0,0.696969696969697,0.8,0.8125,4,4.671586750908703,0.32078055433852376
ATL,2838,5.490133897110641,0.2255109231853418,677.53911205074,0.0,164,0.2857142857142857,0.15132275132275133,0.34299516908212563,0.1994328922495274,2,-1.2879969016748831,8.773308260710444
ATW,21,22.80952380952381,0.42857142857142855,346.57142857142856,0.0,4,0.0,0.5,0.0,0.5,5,1.307455020663217,-0.8938328026188999
AUS,354,8.451977401129943,0.2655367231638418,824.7796610169491,0.0,34,0.1,0.14935064935064934,0.38461538461538464,0.36231884057971014,3,-0.4818470604044064,1.2624119472045474
AVL,24,8.916666666666666,0.20833333333333334,324.875,0.0,3,0.0,0.25,0.0,0.21428571428571427,0,-0.768869185461019,-0.960198147567004
AVP,13,15.615384615384615,0.3076923076923077,603.4615384615385,0.0,3,0.0,0.2857142857142857,0.5,0.25,3,0.10823942534537173,-0.2965839399662171
AZO,13,19.384615384615383,0.46153846153846156,231.3846153846154,0.0,2,0.0,0.5,0.0,0.4,5,1.1455369070152783,-1.0856739759912817
BDL,186,11.204301075268818,0.3010752688172043,860.7258064516129,0.0,19,0.0,0.3125,0.21739130434782608,0.3442622950819672,3,-0.07514183246153602,0.4593556292390058
BET,6,-11.166666666666666,0.0,399.0,0.0,1,0.0,0.0,0.0,0.0,0,-2.8833764680749074,-0.9928129190854087
BFL,28,17.535714285714285,0.25,647.3571428571429,0.0,4,0.25,0.1,0.3333333333333333,0.36363636363636365,3,-0.2955258881536041,-0.29245396615936725
BHM,111,17.576576576576578,0.36936936936936937,537.1441441441441,0.0,15,0.0,0.2647058823529412,0.7333333333333333,0.48,1,0.8556843561453021,0.33974411161511175
BIL,27,10.37037037037037,0.4074074074074074,463.14814814814815,0.0,3,0.5,0.3333333333333333,0.0,0.5714285714285714,5,0.6356361661348344,-0.775887956381299
BIS,31,11.774193548387096,0.25806451612903225,548.7096774193549,0.0,4,0.0,0.16666666666666666,0.5,0.35714285714285715,3,-0.19256536509777017,-0.27293662843722066
BJI,6,2.3333333333333335,0.16666666666666666,199.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0,-1.9627088797423247,-1.1603957750758818
BLI,11,4.636363636363637,0.09090909090909091,1278.1818181818182,0.0,4,0.0,0.125,0.0,0.0,3,-2.0804229665556506,-0.022801308270660986
BMI,21,16.952380952380953,0.38095238095238093,477.2857142857143,0.0,5,0.0,0.42857142857142855,1.0,0.3076923076923077,1,1.0950362834255007,0.025324764198608997
BNA,441,7.433106575963719,0.2562358276643991,658.8480725623583,0.0,43,0.15384615384615385,0.10619469026548672,0.6022727272727273,0.2982456140350877,3,-0.5901210719862159,1.6539895717719708
BOI,109,17.871559633027523,0.30275229357798167,666.3577981651376,0.0,12,0.0,0.32,0.3684210526315789,0.30303030303030304,3,0.21687560434064823,0.06842268143703419
BOS,830,12.714457831325301,0.23493975903614459,1143.5518072289155,0.0,53,0.1509433962264151,0.14786967418546365,0.48333333333333334,0.2713178294573643,6,-0.670114880104394,2.9716983735097897
BPT,10,48.1,0.6,270.0,0.0,1,0.0,0.42857142857142855,0.0,1.0,4,3.3282300075209648,-0.9630978892758952
BQK,6,8.166666666666666,0.3333333333333333,238.0,0.0,1,0.0,0.0,0.0,0.5,5,-0.4141653813501448,-1.0507230135308514
BQN,19,9.736842105263158,0.2631578947368421,1358.0,0.0,4,0.3333333333333333,0.14285714285714285,0.0,0.0,3,-1.41570708108695,0.08997733600554425
