ORIGIN_AIRPORT,flights,avg_arrival_delay,delayed_rate,destinations,criticality_score
ORD,276554,8.600790442372919,0.2337879763084244,161,0.9899216633223368
DEN,193402,7.187909121932555,0.21611979193596756,139,0.9465700778832092
LGA,94834,5.628139696733239,0.2324693675264146,69,0.9300638256867213
DFW,232647,6.9189587658555665,0.20921395934613385,148,0.9096577446745797
BWI,84329,7.248431737599165,0.21742223908738395,67,0.901359271729642
MIA,68301,7.040804673430843,0.22371561177727997,55,0.8944325408971874
JFK,91663,3.607518846208394,0.21413220165170244,64,0.8887868584838282
IAH,144019,7.378269533880946,0.2054034537109687,119,0.8843768776428709
LAX,192003,5.723420988213726,0.20125727202179133,80,0.8769173213617657
MDW,78685,6.053923873673508,0.21161593696384318,69,0.8698545499892301
EWR,98341,4.485728231358233,0.2090074333187582,87,0.8663741795054926
DAL,58672,7.988427188437415,0.21517930188164713,52,0.8662381389654117
PHL,64751,4.392179271362604,0.21105465552655558,46,0.8479860331712185
LAS,131937,6.023336895639585,0.19863268074914542,78,0.8452878957929464
CLT,99052,5.8509974558817595,0.1996728990833098,69,0.8341552449296558
HOU,51132,7.600719705859344,0.20928185871861066,51,0.8325340951603578
SFO,145491,5.750211353279584,0.19594339168745833,80,0.8313437404346495
MCO,109532,6.959628236497097,0.19708395719972246,74,0.8300286818805337
BOS,104804,4.29164917369566,0.19656692492652952,62,0.8177850332732487
IAD,33664,5.169647100760456,0.2014912072243346,70,0.7690825199242708
OAK,41669,6.654179365955507,0.19662098922460342,35,0.7631874298540965
PBI,22134,7.936026023312551,0.2108520827685913,24,0.7610334546361482
PHX,145552,4.392787457403539,0.18003874903814443,78,0.7415116371345327
FLL,72580,3.6110360980986496,0.18281895839074125,59,0.7290412542937795
STL,46181,4.363028085143241,0.18052878889586627,48,0.6815177589588364
DCA,71579,3.1176602076027886,0.17626678215677782,57,0.6671654819802968
CVG,19467,5.8954127497816815,0.18765089638876048,40,0.6584362139917695
XNA,8963,11.233850273345977,0.219346201048756,11,0.657234522554388
BNA,46371,4.573548122749132,0.17536822583079942,47,0.6326225215114104
HPN,7132,9.561132922041503,0.23906337633202468,9,0.6241539978913717
TPA,63077,5.058706025968261,0.17389856841638,61,0.6236665192894149
RDU,31074,4.577749887365643,0.1773508399304885,36,0.6219773492500765
DTW,106992,3.591408703454464,0.17056415432929564,112,0.6074210114614155
BTR,6983,11.203064585421739,0.21480738937419447,4,0.5914362480019046
RIC,14887,5.847450795996507,0.1802243568213878,17,0.5841240689725539
CMH,23557,3.587553593411725,0.1750222863692321,28,0.5800768629051458
SAN,69270,3.328988017900967,0.16977046340407104,46,0.5777641737237698
RSW,26938,3.997067339817358,0.1735095404261638,39,0.5725039395073066
LIT,10132,5.913639952625346,0.185748124753257,12,0.5669149406523144
SMF,36788,5.451832119169294,0.17179515059258454,27,0.5608157897720187
SJC,37708,5.148297443513313,0.17142250981224144,25,0.5570860116314662
TYS,6754,8.184039087947882,0.2083209949659461,9,0.554025099479645
CID,6588,8.714025500910747,0.20415907710989678,7,0.543844732396921
DSM,8101,6.876928774225404,0.1918281693618072,13,0.5432325499665567
ABQ,18918,4.768263029918596,0.17295697219579237,23,0.5327687650919974
AUS,41392,5.014036528797836,0.166384808658678,41,0.5187905995986803
SGF,6035,9.515658657829329,0.20149130074565036,5,0.5186772324819463
ICT,7877,6.939570902627904,0.1875079344928272,10,0.5180423766282353
FAT,6924,8.829433853264009,0.19280762564991336,9,0.5173168270811368
SJU,24399,2.519693430058609,0.16959711463584573,23,0.5173168270811368
RNO,12851,5.225429927632091,0.17399424169325345,13,0.5157296874468592
FSD,5157,9.265076594919528,0.2134962187318208,5,0.5074085410785747
SAV,7372,5.806158437330439,0.18516006511123168,10,0.5061841762178462
SHV,5932,9.921443020903574,0.19942683749157114,4,0.4991554149803308
CLE,33765,3.0371094328446615,0.16570413149711238,35,0.49821446791143764
ATL,343506,3.046773564362777,0.1581195088295401,168,0.4882154882154882
SEA,110178,2.9755668100709762,0.15995026230281909,73,0.4880454375403871
MYR,4725,7.592592592592593,0.21354497354497354,17,0.48709315375982043
GSO,6462,6.109718353450944,0.187867533271433,10,0.4863222573660284
MSY,38292,3.7655907239109996,0.16329781677635016,38,0.4811753902662993
MCI,38106,4.268146748543536,0.16322888783918543,41,0.47342107948168555
DAY,8362,4.04054054054054,0.17567567567567569,12,0.4688410479656271
MKE,29172,2.5723296311531607,0.16443850267379678,29,0.4685236200387716
OKC,15797,5.068304108375008,0.16794328036969045,22,0.4661429105873551
MSP,111055,1.9675926342803116,0.15731844581513665,120,0.4636261605958576
TUL,13701,4.25633165462375,0.16845485730968543,18,0.46117743087440055
MEM,14381,4.499339406160907,0.16765176274250748,23,0.457504336292215
COS,6745,7.413936249073387,0.17968865826538177,9,0.45301499846954396
LGB,8704,4.071116727941177,0.1733685661764706,12,0.4489337822671156
LFT,5005,7.606393606393606,0.19100899100899102,4,0.436066614517793
BHM,12282,4.506432177169842,0.16577104706073928,15,0.4309310841297374
ONT,17769,4.1399628566604765,0.1624176937362823,14,0.4253987688331123
CAE,5026,7.697970553123756,0.1836450457620374,6,0.41914090398938886
PSP,8865,6.007783417935702,0.1694303440496334,12,0.41471958643675816
OMA,16442,3.7209585208612093,0.1614158861452378,21,0.41206679590517975
JAN,6905,4.4910934105720495,0.17320782041998553,4,0.41077441077441074
MOB,4905,7.1663608562691135,0.18185524974515802,4,0.406761214842023
FAR,5566,4.414121451670859,0.17840459935321595,6,0.4065344806085547
