column,dtype,missing,missing_pct,unique_values
YEAR,int64,0,0.0,1
MONTH,int64,0,0.0,12
DAY,int64,0,0.0,31
DAY_OF_WEEK,int64,0,0.0,7
AIRLINE,str,0,0.0,14
FLIGHT_NUMBER,int64,0,0.0,6952
TAIL_NUMBER,str,14721,0.253,4897
ORIGIN_AIRPORT,str,0,0.0,628
DESTINATION_AIRPORT,str,0,0.0,629
SCHEDULED_DEPARTURE,int64,0,0.0,1321
DEPARTURE_TIME,float64,86153,1.481,1440
DEPARTURE_DELAY,float64,86153,1.481,1217
TAXI_OUT,float64,89047,1.53,184
WHEELS_OFF,float64,89047,1.53,1440
SCHEDULED_TIME,float64,6,0.0,550
ELAPSED_TIME,float64,105071,1.806,712
AIR_TIME,float64,105071,1.806,675
DISTANCE,int64,0,0.0,1363
WHEELS_ON,float64,92513,1.59,1440
TAXI_IN,float64,92513,1.59,185
SCHEDULED_ARRIVAL,int64,0,0.0,1435
ARRIVAL_TIME,float64,92513,1.59,1440
ARRIVAL_DELAY,float64,105071,1.806,1240
DIVERTED,int64,0,0.0,2
CANCELLED,int64,0,0.0,2
CANCELLATION_REASON,str,5729195,98.455,4
AIR_SYSTEM_DELAY,float64,4755640,81.725,570
SECURITY_DELAY,float64,4755640,81.725,154
AIRLINE_DELAY,float64,4755640,81.725,1067
LATE_AIRCRAFT_DELAY,float64,4755640,81.725,695
WEATHER_DELAY,float64,4755640,81.725,632
