feature,importance
num__SCHEDULED_ARRIVAL_MINUTES,0.19504422038383168
num__SCHEDULED_DEPARTURE_MINUTES,0.1861469439885751
cat__DEPARTURE_PERIOD_manha,0.09733792870360715
num__MONTH,0.07684391281781597
cat__DEPARTURE_PERIOD_noite,0.054931306285844854
cat__AIRLINE_DL,0.03772559587458931
cat__DEPARTURE_PERIOD_tarde,0.028440413243534683
cat__DEPARTURE_PERIOD_madrugada,0.024436028766400473
num__DAY,0.02348482143049044
cat__AIRLINE_NK,0.018399928307364494
num__SCHEDULED_TIME,0.01754777505861598
num__DAY_OF_WEEK,0.015964774022777177
cat__AIRLINE_WN,0.012777787925426116
cat__IS_BUSY_ROUTE_sim,0.011897125371655489
num__DISTANCE,0.011630283090428663
cat__ORIGIN_AIRPORT_ORD,0.00843913017608167
cat__AIRLINE_AS,0.008258548554817452
cat__IS_BUSY_ROUTE_nao,0.008027678656156119
cat__AIRLINE_HA,0.006700324207602002
cat__AIRLINE_MQ,0.006641617042372059
cat__AIRLINE_B6,0.006255632446796795
cat__DESTINATION_AIRPORT_LGA,0.005605952825095792
cat__AIRLINE_F9,0.005395839816255558
cat__DESTINATION_AIRPORT_ATL,0.00432311969581842
cat__DESTINATION_AIRPORT_SLC,0.004265818906945166
