ROUTE,flights,avg_arrival_delay,delayed_rate,avg_distance
LGA-CMH,1316,12.378419452887538,0.32674772036474165,479.0
RDU-LGA,1677,17.203339296362554,0.32558139534883723,431.0
RIC-LGA,1283,17.886204208885424,0.3195635229929852,292.0
IAH-LAX,4388,16.7383773928897,0.31517775752051047,1379.0
ORD-DEN,5517,18.13558093166576,0.3141199927496828,888.0
DEN-ASE,1019,15.618253189401374,0.3140333660451423,125.0
PHL-SJU,1024,11.0400390625,0.3115234375,1576.0
LGA-RDU,1775,13.083943661971832,0.3104225352112676,431.0
LAS-FLL,1024,14.1064453125,0.30859375,2173.0
PBI-BOS,1572,15.741730279898219,0.30470737913486007,1197.0
ORD-SAT,1021,13.888344760039177,0.3046033300685602,1041.0
DFW-TYS,1576,18.496827411167512,0.3013959390862944,771.8147208121827
LAX-FLL,1738,13.950517836593786,0.29804372842347526,2342.722669735328
RNO-LAX,1879,13.319850984566258,0.2974986695050559,391.0
ORD-JFK,1538,14.931729518855656,0.29713914174252276,740.0
CMH-LGA,1308,14.459480122324159,0.2966360856269113,479.0
ORD-EWR,3751,16.046654225539857,0.2953878965609171,719.0
SJU-EWR,1175,10.122553191489361,0.29531914893617023,1608.0
GSO-LGA,1162,15.989672977624785,0.29518072289156627,461.0
BOS-LAS,1000,9.356,0.294,2381.0
LGA-GSO,1160,13.943103448275862,0.2939655172413793,461.0
FAT-LAX,1676,14.230310262529834,0.2935560859188544,209.0
ORD-IAH,4098,13.90214738897023,0.29331381161542214,925.0
DFW-CRP,1396,14.184813753581661,0.29297994269340977,354.0
DFW-XNA,2139,14.388966806919122,0.2926601215521272,280.0
BOS-FLL,2142,11.241830065359476,0.2913165266106443,1237.0
CVG-IAH,1064,12.81015037593985,0.2894736842105263,871.0
PBI-HPN,1011,13.751730959446093,0.2888229475766568,1056.0
DFW-LIT,1271,14.365853658536585,0.2887490165224233,304.0
CHS-JFK,1177,14.873406966864911,0.28802039082412917,636.0
BOS-SJU,1006,10.77534791252485,0.28727634194831014,1674.0
PBI-LGA,2820,14.446099290780142,0.2865248226950355,1035.0
BOS-PBI,1571,10.61234882240611,0.2864417568427753,1197.0
MIA-DEN,1333,12.72543135783946,0.28507126781695424,1709.0
